"slug","brand","identifier","status","detail"
"honor-200-pro","Honor","Honor 200 Pro","miss","HTTP 404"
"honor-400","Honor","Honor 400","miss","HTTP 404"
"honor-400-pro","Honor","Honor 400 Pro","miss","HTTP 404"
"honor-600-pro","Honor","Honor 600 Pro","miss","HTTP 404"
"honor-magic-7","Honor","Honor Magic 7","miss","HTTP 404"
"honor-magic-7-pro","Honor","Honor Magic 7 Pro","miss","HTTP 404"
"honor-magic-v3","Honor","Honor Magic V3","miss","HTTP 404"
"honor-pad-10","Honor","Honor Pad 10","miss","HTTP 404"
"honor-x7c","Honor","Honor X7c","miss","HTTP 404"
"honor-x9c","Honor","Honor X9c","miss","HTTP 404"
"hp-250-g10","HP","HP 250 G10","miss","HTTP 404"
"hp-elitebook-1040-g11","HP","HP EliteBook 1040 G11","miss","HTTP 404"
"hp-elitebook-840-g11","HP","HP EliteBook 840 G11","miss","HTTP 404"
"hp-elitebook-840-g6-refurbished","HP","HP EliteBook 840 G6 (Refurbished)","miss","HTTP 404"
"hp-elitebook-840-g7","HP","HP EliteBook 840 G7","miss","HTTP 404"
"hp-elitebook-840-g7-refurbished","HP","HP EliteBook 840 G7 (Refurbished)","miss","HTTP 404"
"hp-omen-16","HP","HP Omen 16","miss","HTTP 404"
"hp-pavilion-14-2021","HP","HP Pavilion 14 (2021)","miss","HTTP 404"
"hp-pavilion-15-core-i5","HP","HP Pavilion 15 (Core i5)","miss","HTTP 404"
"hp-pavilion-aero-13","HP","HP Pavilion Aero 13","miss","HTTP 404"
"hp-probook-450-g11","HP","HP ProBook 450 G11","miss","HTTP 404"
"hp-probook-450-g7-refurbished","HP","HP ProBook 450 G7 (Refurbished)","miss","HTTP 404"
"hp-spectre-x360-13-refurbished","HP","HP Spectre x360 13 (Refurbished)","miss","HTTP 404"
"hp-spectre-x360-14","HP","HP Spectre x360 14","miss","HTTP 404"
"hp-victus-15","HP","HP Victus 15","miss","HTTP 404"
"huawei-freebuds-se-3","Huawei","Huawei FreeBuds SE 3","miss","HTTP 404"
"huawei-watch-gt-5","Huawei","Huawei Watch GT 5","miss","HTTP 404"
"infinix-gt-30-pro-5g","Infinix","Infinix GT 30 Pro 5G","miss","HTTP 404"
"infinix-hot-60","Infinix","Infinix Hot 60","miss","HTTP 404"
"infinix-hot-60-pro-plus","Infinix","Infinix Hot 60 Pro+","miss","HTTP 404"
"infinix-note-40-pro","Infinix","Infinix Note 40 Pro","miss","HTTP 404"
"infinix-note-50","Infinix","Infinix Note 50","miss","HTTP 404"
"infinix-note-50-pro","Infinix","Infinix Note 50 Pro","miss","HTTP 404"
"infinix-note-50-pro-plus-5g","Infinix","Infinix Note 50 Pro+ 5G","miss","HTTP 404"
"infinix-smart-9","Infinix","Infinix Smart 9","miss","HTTP 404"
"infinix-zero-40-5g","Infinix","Infinix Zero 40 5G","miss","HTTP 404"
"ipad-11th-gen-a16","Apple","GTIN A16)""","miss","HTTP 400"
"ipad-air-11-m3","Apple","Apple ""iPad Air 11"""" (M3)""","miss","HTTP 404"
"ipad-air-13-m2","Apple","Apple ""iPad Air 13"""" (M2)""","miss","HTTP 404"
"ipad-air-13-m3","Apple","Apple ""iPad Air 13"""" (M3)""","miss","HTTP 404"
"ipad-mini-a17-pro","Apple","Apple iPad mini (A17 Pro)","miss","HTTP 404"
"ipad-pro-11-m5","Apple","Apple ""iPad Pro 11"""" (M5)""","miss","HTTP 404"
"ipad-pro-13-m4","Apple","Apple ""iPad Pro 13"""" (M4)""","miss","HTTP 404"
"ipad-pro-13-m5","Apple","Apple ""iPad Pro 13"""" (M5)""","miss","HTTP 404"
"iphone-15","Apple","Apple iPhone 15","miss","HTTP 404"
"iphone-15-plus","Apple","Apple iPhone 15 Plus","miss","HTTP 404"
"iphone-15-pro-max","Apple","Apple iPhone 15 Pro Max","miss","HTTP 404"
"iphone-16","Apple","Apple iPhone 16","miss","HTTP 404"
"iphone-16-plus","Apple","Apple iPhone 16 Plus","miss","HTTP 404"
"iphone-16-pro","Apple","Apple iPhone 16 Pro","miss","HTTP 404"
"iphone-16-pro-max","Apple","Apple iPhone 16 Pro Max","miss","HTTP 404"
"iphone-16e","Apple","Apple iPhone 16e","miss","HTTP 404"
"iphone-17","Apple","Apple iPhone 17","miss","HTTP 404"
"iphone-17-pro","Apple","Apple iPhone 17 Pro","miss","HTTP 404"
"iphone-17-pro-max","Apple","Apple iPhone 17 Pro Max","miss","HTTP 404"
"iphone-air","Apple","Apple iPhone Air","miss","HTTP 404"
"jbl-charge-6","JBL","JBL Charge 6","miss","HTTP 404"
"jbl-flip-7","JBL","JBL Flip 7","miss","HTTP 404"
"jbl-go-4","JBL","JBL Go 4","miss","HTTP 404"
"jbl-live-beam-3","JBL","JBL Live Beam 3","miss","HTTP 404"
"jbl-tour-pro-3","JBL","JBL Tour Pro 3","miss","HTTP 404"
"jbl-tune-770nc","JBL","JBL Tune 770NC","miss","HTTP 404"
"jbl-wave-beam-2","JBL","JBL Wave Beam 2","miss","HTTP 404"
"jbl-wave-buds-2","JBL","JBL Wave Buds 2","miss","HTTP 404"
"leather-flip-wallet-case","Leather","Leather Leather Flip Wallet Case","miss","HTTP 404"
"lenovo-idea-tab-pro","Lenovo","Lenovo Idea Tab Pro","miss","HTTP 404"
"lenovo-ideapad-1","Lenovo","Lenovo IdeaPad 1","miss","HTTP 404"
"lenovo-ideapad-slim-3-core-i5","Lenovo","Lenovo IdeaPad Slim 3 (Core i5)","miss","HTTP 404"
"lenovo-ideapad-slim-5","Lenovo","Lenovo IdeaPad Slim 5","miss","HTTP 404"
"lenovo-legion-5","Lenovo","Lenovo Legion 5","miss","HTTP 404"
"lenovo-loq-15","Lenovo","Lenovo LOQ 15","miss","HTTP 404"
"lenovo-tab-m11","Lenovo","Lenovo Tab M11","miss","HTTP 404"
"lenovo-tab-p12","Lenovo","Lenovo Tab P12","miss","HTTP 404"
"lenovo-thinkpad-e14-gen-6","Lenovo","Lenovo ThinkPad E14 Gen 6","miss","HTTP 404"
"lenovo-thinkpad-t14-gen-1","Lenovo","Lenovo ThinkPad T14 (Gen 1)","miss","HTTP 404"
"lenovo-thinkpad-t490-refurbished","Lenovo","Lenovo ThinkPad T490 (Refurbished)","miss","HTTP 404"
"lenovo-thinkpad-x1-carbon-gen13","Lenovo","Lenovo ThinkPad X1 Carbon Gen13","miss","HTTP 404"
"lenovo-thinkpad-x1-carbon-gen8-refurbished","Lenovo","Lenovo ThinkPad X1 Carbon Gen8 (Refurbished)","miss","HTTP 404"
"lenovo-thinkpad-x1-yoga-gen5-refurbished","Lenovo","Lenovo ThinkPad X1 Yoga Gen5 (Refurbished)","miss","HTTP 404"
"lenovo-yoga-slim-7","Lenovo","Lenovo Yoga Slim 7","miss","HTTP 404"
"lg-14-place-quadwash-dishwasher","LG","LG 14-place QuadWash Dishwasher","miss","HTTP 404"
"lg-234l-double-door-fridge","LG","LG 234L Double Door Fridge","miss","HTTP 404"
"lg-43-fhd-smart-tv","LG","LG ""43"""" FHD Smart TV""","miss","HTTP 404"
"lg-55-4k-uhd-ur78","LG","LG ""55"""" 4K UHD UR78""","miss","HTTP 404"
"lg-55-uhd-ur80","LG","LG ""55"""" UHD UR80""","miss","HTTP 404"
"lg-668l-instaview-side-by-side","LG","LG 668L InstaView Side-by-Side","miss","HTTP 404"
"lg-8kg-front-load-ai-dd","LG","LG 8kg Front Load AI DD","miss","HTTP 404"
"lg-oled-c5-65","LG","LG ""OLED C5 65""""""","miss","HTTP 404"
"lg-oled-g5-65","LG","LG ""OLED G5 65""""""","miss","HTTP 404"
"macbook-air-13-m1","Apple","Apple ""MacBook Air 13"""" (M1)""","miss","HTTP 404"
"macbook-air-13-m1-refurbished","Apple","Apple ""MacBook Air 13"""" M1 (Refurbished)""","miss","HTTP 404"
"macbook-air-13-m2","Apple","Apple ""MacBook Air 13"""" (M2)""","miss","HTTP 404"
"macbook-air-13-m3","Apple","Apple ""MacBook Air 13"""" (M3)""","miss","HTTP 404"
"macbook-air-13-m4","Apple","Apple ""MacBook Air 13"""" (M4)""","miss","HTTP 404"
"macbook-air-13-retina-2020-intel","Apple","GTIN 2020 Intel)""","miss","HTTP 400"
"macbook-air-15-m3","Apple","Apple ""MacBook Air 15"""" (M3)""","miss","HTTP 404"
"macbook-air-15-m4","Apple","Apple ""MacBook Air 15"""" (M4)""","miss","HTTP 404"
"macbook-pro-13-2019-intel","Apple","GTIN Intel)""","miss","HTTP 400"
"macbook-pro-13-2019-refurbished","Apple","Apple ""MacBook Pro 13"""" 2019 (Refurbished)""","miss","HTTP 404"
"macbook-pro-13-m1","Apple","Apple ""MacBook Pro 13"""" (M1)""","miss","HTTP 404"
"macbook-pro-13-m2","Apple","Apple ""MacBook Pro 13"""" (M2)""","miss","HTTP 404"
"macbook-pro-14-m1-pro-refurbished","Apple","Apple ""MacBook Pro 14"""" M1 Pro (Refurbished)""","miss","HTTP 404"
"macbook-pro-14-m5","Apple","Apple ""MacBook Pro 14"""" (M5)""","miss","HTTP 404"
"macbook-pro-14-m5-max","Apple","Apple ""MacBook Pro 14"""" (M5 Max)""","miss","HTTP 404"
"macbook-pro-14-m5-pro","Apple","Apple ""MacBook Pro 14"""" (M5 Pro)""","miss","HTTP 404"
"macbook-pro-16-2019-intel","Apple","GTIN Intel)""","miss","HTTP 400"
"macbook-pro-16-m5-max","Apple","Apple ""MacBook Pro 16"""" (M5 Max)""","miss","HTTP 404"
"meta-quest-3s","Meta","Meta Meta Quest 3S","miss","HTTP 404"
"microsoft-surface-laptop-7","Microsoft","Microsoft Surface Laptop 7","miss","HTTP 404"
"midea-9-place-countertop-dishwasher","Midea","Midea Midea 9-place Countertop Dishwasher","miss","HTTP 404"
"mika-138l-single-door-fridge","Mika","Mika Mika 138L Single Door Fridge","miss","HTTP 404"
"mika-7kg-top-load-washer","Mika","Mika Mika 7kg Top Load Washer","miss","HTTP 404"
"motorola-edge-50-pro","Motorola","Motorola Edge 50 Pro","miss","HTTP 404"
"motorola-edge-60","Motorola","Motorola Edge 60","miss","HTTP 404"
"motorola-edge-60-fusion","Motorola","Motorola Edge 60 Fusion","miss","HTTP 404"
"motorola-edge-60-pro","Motorola","Motorola Edge 60 Pro","miss","HTTP 404"
"motorola-moto-g55-5g","Motorola","Motorola Moto G55 5G","miss","HTTP 404"
"motorola-moto-g85-5g","Motorola","Motorola Moto G85 5G","miss","HTTP 404"
"motorola-razr-60","Motorola","Motorola Razr 60","miss","HTTP 404"
"motorola-razr-60-ultra","Motorola","Motorola Razr 60 Ultra","miss","HTTP 404"
"nillkin-frosted-shield-case","Nillkin","Nillkin Frosted Shield Case","miss","HTTP 404"
"nintendo-switch-2","Nintendo","Nintendo Nintendo Switch 2","miss","HTTP 404"
"nokia-110-4g-2025","Nokia","Nokia 110 4G (2025)","miss","HTTP 404"
"nokia-c32","Nokia","Nokia C32","miss","HTTP 404"
"nokia-g42-5g","Nokia","Nokia G42 5G","miss","HTTP 404"
"nothing-cmf-phone-1","Nothing","Nothing CMF Phone 1","miss","HTTP 404"
"nothing-cmf-phone-2","Nothing","Nothing CMF Phone 2","miss","HTTP 404"
"nothing-ear-3","Nothing","Nothing Ear (3)","miss","HTTP 404"
"nothing-phone-2a","Nothing","Nothing Phone (2a)","miss","HTTP 404"
"nothing-phone-3","Nothing","Nothing Phone (3)","miss","HTTP 404"
"nothing-phone-3a","Nothing","Nothing Phone (3a)","miss","HTTP 404"
"nothing-phone-3a-pro","Nothing","Nothing Phone (3a) Pro","miss","HTTP 404"
"oneplus-12","OnePlus","OnePlus 12","miss","HTTP 404"
"oneplus-13","OnePlus","OnePlus 13","miss","HTTP 404"
"oneplus-13r","OnePlus","OnePlus 13R","miss","HTTP 404"
"oneplus-13t","OnePlus","OnePlus 13T","miss","HTTP 404"
"oneplus-14","OnePlus","OnePlus 14","miss","HTTP 404"
"oneplus-15","OnePlus","OnePlus 15","miss","HTTP 404"
"oneplus-nord-4","OnePlus","OnePlus Nord 4","miss","HTTP 404"
"oneplus-nord-5","OnePlus","OnePlus Nord 5","miss","HTTP 404"
"oneplus-nord-6-pro","OnePlus","OnePlus Nord 6 Pro","miss","HTTP 404"
"oneplus-nord-ce4","OnePlus","OnePlus Nord CE4","miss","HTTP 404"
"oneplus-pad-2","OnePlus","OnePlus Pad 2","miss","HTTP 404"
"oneplus-pad-3","OnePlus","OnePlus Pad 3","miss","HTTP 404"
"oneplus-pad-go","OnePlus","OnePlus Pad Go","miss","HTTP 404"
"oppo-a5-pro-5g","Oppo","Oppo A5 Pro 5G","miss","HTTP 404"
"oppo-a80-5g","Oppo","Oppo A80 5G","miss","HTTP 404"
"oppo-find-n5","Oppo","Oppo Find N5","miss","HTTP 404"
"oppo-find-x8-pro","Oppo","Oppo Find X8 Pro","miss","HTTP 404"
"oppo-find-x9","Oppo","Oppo Find X9","miss","HTTP 404"
"oppo-find-x9-pro","Oppo","Oppo Find X9 Pro","miss","HTTP 404"
"oppo-find-x9-ultra","Oppo","Oppo Find X9 Ultra","miss","HTTP 404"
"oppo-reno-12-5g","Oppo","Oppo Reno 12 5G","miss","HTTP 404"
"oppo-reno-13-5g","Oppo","Oppo Reno 13 5G","miss","HTTP 404"
"oppo-reno-14-5g","Oppo","Oppo Reno 14 5G","miss","HTTP 404"
"oppo-reno-14-pro-5g","Oppo","Oppo Reno 14 Pro 5G","miss","HTTP 404"
"oraimo-10000mah-powerbank","Oraimo","Oraimo 10000mAh Powerbank","miss","HTTP 404"
"oraimo-20000mah-30w-powerbank","Oraimo","Oraimo 20000mAh 30W Powerbank","miss","HTTP 404"
"oraimo-27000mah-45w-powerbank","Oraimo","Oraimo 27000mAh 45W Powerbank","miss","HTTP 404"
"oraimo-33w-gan-charger","Oraimo","Oraimo 33W GaN Charger","miss","HTTP 404"
"oraimo-freepods-4","Oraimo","Oraimo FreePods 4","miss","HTTP 404"
"oraimo-riff-true-wireless","Oraimo","Oraimo Riff True Wireless","miss","HTTP 404"
"oraimo-spacebuds","Oraimo","Oraimo SpaceBuds","miss","HTTP 404"
"oraimo-usb-c-to-c-60w-cable","Oraimo","Oraimo USB-C to C 60W Cable","miss","HTTP 404"
"oraimo-watch-5","Oraimo","Oraimo Watch 5","miss","HTTP 404"
"playstation-5-pro","PlayStation","PlayStation PlayStation 5 Pro","miss","HTTP 404"
"ramtons-350l-bottom-freezer","Ramtons","Ramtons Ramtons 350L Bottom Freezer","miss","HTTP 404"
"ramtons-7kg-twin-tub-washer","Ramtons","Ramtons Ramtons 7kg Twin Tub Washer","miss","HTTP 404"
"ramtons-double-door-90l-rf-222","Ramtons","Ramtons Ramtons Double Door 90L RF/222","miss","HTTP 404"
"realme-13-pro-plus-5g","Realme","Realme 13 Pro+ 5G","miss","HTTP 404"
"realme-14-pro-plus-5g","Realme","Realme 14 Pro+ 5G","miss","HTTP 404"
"realme-buds-t200","Realme","Realme Buds T200","miss","HTTP 404"
"realme-c75","Realme","Realme C75","miss","HTTP 404"
"realme-gt-7","Realme","Realme GT 7","miss","HTTP 404"
"realme-gt-7-pro","Realme","Realme GT 7 Pro","miss","HTTP 404"
"realme-note-60","Realme","Realme Note 60","miss","HTTP 404"
"redmi-watch-5","Redmi","Redmi Watch 5","miss","HTTP 404"
"ringke-fusion-clear-case","Ringke","Ringke Ringke Fusion Clear Case","miss","HTTP 404"
"romoss-30000mah-powerbank","Romoss","Romoss Romoss 30000mAh Powerbank","miss","HTTP 404"
"rugged-defender-case","Rugged","Rugged Rugged Defender Case","miss","HTTP 404"
"samsung-13-place-dishwasher","Samsung","Samsung 13-place Dishwasher","miss","HTTP 404"
"samsung-231l-double-door-rt28","Samsung","Samsung 231L Double Door RT28","miss","HTTP 404"
"samsung-43-fhd-smart-tv","Samsung","Samsung ""43"""" FHD Smart TV""","miss","HTTP 404"
"samsung-45w-travel-adapter","Samsung","Samsung 45W Travel Adapter","miss","HTTP 404"
"samsung-55-crystal-uhd-du7000","Samsung","Samsung ""55"""" Crystal UHD DU7000""","miss","HTTP 404"
"samsung-580l-side-by-side-rs","Samsung","Samsung 580L Side-by-Side RS","miss","HTTP 404"
"samsung-7kg-front-load-ecobubble","Samsung","Samsung 7kg Front Load EcoBubble","miss","HTTP 404"
"samsung-9kg-front-load-ai","Samsung","Samsung 9kg Front Load AI","miss","HTTP 404"
"samsung-galaxy-a06","Samsung","Samsung A06","miss","HTTP 404"
"samsung-galaxy-a16","Samsung","Samsung A16","miss","HTTP 404"
"samsung-galaxy-a17-5g","Samsung","Samsung A17 5G","miss","HTTP 404"
"samsung-galaxy-a26-5g","Samsung","Samsung A26 5G","miss","HTTP 404"
"samsung-galaxy-a35-5g","Samsung","Samsung A35 5G","miss","HTTP 404"
"samsung-galaxy-a36-5g","Samsung","Samsung A36 5G","miss","HTTP 404"
"samsung-galaxy-a55-5g","Samsung","Samsung A55 5G","miss","HTTP 404"
"samsung-galaxy-a56-5g","Samsung","Samsung A56 5G","miss","HTTP 404"
"samsung-galaxy-buds-2","Samsung","Samsung Buds 2","miss","HTTP 404"
"samsung-galaxy-buds-3","Samsung","Samsung Buds 3","miss","HTTP 404"
"samsung-galaxy-buds-3-pro","Samsung","Samsung Buds 3 Pro","miss","HTTP 404"
"samsung-galaxy-buds-fe","Samsung","Samsung Buds FE","miss","HTTP 404"
"samsung-galaxy-s24-fe","Samsung","Samsung S24 FE","miss","HTTP 404"
"samsung-galaxy-s24-ultra","Samsung","Samsung S24 Ultra","miss","HTTP 404"
"samsung-galaxy-s25-edge","Samsung","Samsung S25 Edge","miss","HTTP 404"
"samsung-galaxy-s25-fe","Samsung","Samsung S25 FE","miss","HTTP 404"
"samsung-galaxy-s25-plus","Samsung","Samsung S25+","miss","HTTP 404"
"samsung-galaxy-s25-ultra","Samsung","Samsung S25 Ultra","miss","HTTP 404"
"samsung-galaxy-s26","Samsung","Samsung S26","miss","HTTP 404"
"samsung-galaxy-s26-plus","Samsung","Samsung S26+","miss","HTTP 404"
"samsung-galaxy-s26-ultra","Samsung","Samsung S26 Ultra","miss","HTTP 404"
"samsung-galaxy-tab-a9-plus","Samsung","Samsung Tab A9+","miss","HTTP 404"
"samsung-galaxy-tab-s10-fe","Samsung","Samsung Tab S10 FE","miss","HTTP 404"
"samsung-galaxy-tab-s10-plus","Samsung","Samsung Tab S10+","miss","HTTP 404"
"samsung-galaxy-tab-s10-ultra","Samsung","Samsung Tab S10 Ultra","miss","HTTP 404"
"samsung-galaxy-tab-s11","Samsung","Samsung Tab S11","miss","HTTP 404"
"samsung-galaxy-tab-s11-ultra","Samsung","Samsung Tab S11 Ultra","miss","HTTP 404"
"samsung-galaxy-tab-s9-fe","Samsung","Samsung Tab S9 FE","miss","HTTP 404"
"samsung-galaxy-watch-7","Samsung","Samsung Watch 7","miss","HTTP 404"
"samsung-galaxy-watch-8-classic","Samsung","Samsung Watch 8 Classic","miss","HTTP 404"
"samsung-galaxy-z-flip7","Samsung","Samsung Z Flip7","miss","HTTP 404"
"samsung-galaxy-z-fold7","Samsung","Samsung Z Fold7","miss","HTTP 404"
"samsung-neo-qled-8k-qn800d-65","Samsung","Samsung ""Neo QLED 8K QN800D 65""""""","miss","HTTP 404"
"samsung-neo-qled-8k-qn900d-75","Samsung","Samsung ""Neo QLED 8K QN900D 75""""""","miss","HTTP 404"
"samsung-oled-s90d-65","Samsung","Samsung ""OLED S90D 65""""""","miss","HTTP 404"
"samsung-oled-s95f-65","Samsung","Samsung ""OLED S95F 65""""""","miss","HTTP 404"
"samsung-t9-portable-ssd-2tb","Samsung","Samsung T9 Portable SSD 2TB","miss","HTTP 404"
"samsung-the-frame-pro-65","Samsung","Samsung ""The Frame Pro 65""""""","miss","HTTP 404"
"sennheiser-accentum-wireless","Sennheiser","Sennheiser Sennheiser Accentum Wireless","miss","HTTP 404"
"sennheiser-momentum-true-wireless-4","Sennheiser","Sennheiser Sennheiser Momentum True Wireless 4","miss","HTTP 404"
